;eartag;lp;plot;date;year_time;time;trap;station;species;PIT_tag;Sex;Body_mass;reproductive_state;open;recapture;Openfield_number;latency;Cross;zones.old;zones.new;manipulator;struggle_no;bag_struggle;watched;Struggle2..1.5.;X;yearText;BLUP_B
1;1;32;debowa;16.cze.20;2020;AM;D2;D2-debowa;APF;9,68E+14;F;22;NP;NO;NEW;1;55;12;NA;NA;RZ;1;43;JW;NA;;2020;-0,37026248
2;1;150;debowa;18.cze.20;2020;AM;D2;D2-debowa;APF;NA;F;21,5;NP;NA;R;2;0;2;NA;NA;JW;2;36;JW;NA;;2020;-0,37026248
3;2;43;wally;15.cze.20;2020;AM;F1;F1-wally;APF;9,68E+14;M;13;NS;NA;NEW;1;0;1;NA;NA;RZ;1;0;PC;NA;;2020;-0,49819732
4;3;23;wally;15.cze.20;2020;AM;A6;A6-wally;APF;9,68E+14;F;15,5;NP;NO;NEW;1;14;11;NA;NA;RZ;1;3;PC;NA;;2020;-0,067835675
5;4;1753;wally;11.sie.20;2020;AM;D8;D8-wally;APF;6,16E+14;F;26,5;NP;NO;R;1;0;30;NA;NA;MZ;1;54;MZ;NA;;2020;0,339059054
6;5;570;wally;06.lip.20;2020;AM;F3;F3-wally;APF;NA;M;31,5;NS;NO;R;1;0;11;NA;NA;JW;1;8;JW;NA;;2020;-0,353966399
7;5;1704;wally;10.sie.20;2020;AM;H4;H4-wally;APF;NA;M;35;S;NA;R;2;0;4;NA;NA;JW;2;0;JW;NA;;2020;-0,353966399
8;5;2251;wally;26.sie.20;2020;AM;H1;H1-wally;APF;6,16E+14;M;35;NS;NA;R;3;0;9;NA;NA;AW;3;37;AW;NA;;2020;-0,353966399
9;8;69;debowa;16.cze.20;2020;AM;H1;H1-debowa;APF;9,68E+14;F;21;NP;NO;NEW;1;0;8;NA;NA;RZ;1;50;JW;NA;;2020;-0,180184161
10;9;33;debowa;16.cze.20;2020;AM;C5;C5-debowa;APF;9,68E+14;M;27;S;NA;NEW;1;4;9;NA;NA;RZ;1;53;JW;NA;;2020;-0,160359037
11;12;31;debowa;16.cze.20;2020;AM;C2;C2-debowa;APF;9,68E+14;M;25;S;NA;NEW;1;120;0;NA;NA;RZ;1;15;JW;NA;;2020;-0,008584613
12;13;34;debowa;16.cze.20;2020;AM;D6;D6-debowa;APF;9,68E+14;F;38;L;NO;NEW;1;6;21;NA;NA;RZ;1;37;JW;NA;;2020;0,118055587
13;14;35;debowa;16.cze.20;2020;AM;B8;B8-debowa;APF;9,68E+14;F;35;P;NO;NEW;1;0;7;NA;NA;RZ;1;42;JW;NA;;2020;-0,259062967
14;15;26;wally;15.cze.20;2020;AM;C9;C9-wally;APF;9,68E+14;M;23;NS;NA;NEW;1;9;24;NA;NA;RZ;1;35;PC;NA;;2020;0,412084835
15;15;547;wally;05.lip.20;2020;AM;F10;F10-wally;APF;NA;M;26;NS;NA;R;2;0;30;NA;NA;JW;2;55;JW;NA;;2020;0,412084835
16;16;41;wally;15.cze.20;2020;AM;F3;F3-wally;APF;9,68E+14;M;24;S;NA;NEW;1;5;6;NA;NA;RZ;2;55;PC;NA;;2020;-0,259262504
17;17;46;wally;15.cze.20;2020;AM;H3;H3-wally;APF;9,68E+14;F;27,5;NP;NO;NEW;1;0;18;NA;NA;RZ;1;52;PC;NA;;2020;0,081414761
18;20;56;wally;16.cze.20;2020;AM;I1;I1-wally;APF;9,68E+14;M;46;S;NA;NEW;1;0;10;NA;NA;RZ;1;48;JW;NA;;2020;-0,187877784
19;22;55;wally;16.cze.20;2020;AM;I2;I2-wally;APF;9,68E+14;M;32;NS;NA;NEW;1;0;23;NA;NA;RZ;1;53;JW;NA;;2020;0,184699068
20;23;57;wally;16.cze.20;2020;AM;F3;F3-wally;APF;9,68E+14;F;21;NP;NO;NEW;1;0;14;NA;NA;RZ;1;48;JW;NA;;2020;0,2755794
21;23;115;wally;18.cze.20;2020;AM;F3;F3-wally;APF;NA;F;21;NP;NA;R;2;0;33;NA;NA;JW;2;60;JW;NA;;2020;0,2755794
22;24;54;wally;16.cze.20;2020;AM;G1;G1-wally;APF;9,68E+14;F;15;NP;NO;NEW;1;4;5;NA;NA;RZ;1;54;JW;NA;;2020;-0,278069347
23;25;52;wally;16.cze.20;2020;AM;F6;F6-wally;APF;9,68E+14;M;32;NS;NA;NEW;1;0;11;NA;NA;rz;1;5;JW;NA;;2020;0,194450121
24;25;545;wally;05.lip.20;2020;AM;F5;F5-wally;APF;NA;M;36;S;NA;R;2;0;25;NA;NA;JW;2;21;JW;NA;;2020;0,194450121
25;25;2237;wally;26.sie.20;2020;AM;F6;F6-wally;APF;NA;M;39;NS;NA;R;3;0;27;NA;NA;AW;3;33;AW;NA;;2020;0,194450121
26;26;1593;wally;09.sie.20;2020;AM;H9;H9-wally;APF;NA;F;34;NP;NA;R;1;0;21;NA;NA;JW;1;0;JW;NA;;2020;0,130566387
27;28;24;wally;15.cze.20;2020;AM;B1;B1-wally;APF;9,68E+14;F;28;L;NO;NEW;1;11;35;NA;NA;RZ;1;40;PC;NA;;2020;0,436563492
28;28;125;wally;18.cze.20;2020;AM;B1;B1-wally;APF;NA;F;28;L;NO;R;2;0;23;NA;NA;JW;2;46;JW;NA;;2020;0,436563492
29;29;25;wally;15.cze.20;2020;AM;A10;A10-wally;APF;9,68E+14;F;24;NP;NO;NEW;1;0;12;NA;NA;RZ;1;0;PC;NA;;2020;-0,063797838
30;30;47;wally;15.cze.20;2020;AM;G1;G1-wally;APF;9,68E+14;F;19,5;NP;NO;NEW;1;38;9;NA;NA;RZ;1;55;PC;NA;;2020;-0,141988133
31;35;1127;debowa;23.lip.20;2020;AM;G10;G10-debowa;APF;NA;M;30;S;NA;R;1;0;1;NA;NA;JW;1;22;JW;NA;;2020;-0,707685242
32;35;1765;debowa;11.sie.20;2020;AM;I1;I1-debowa;APF;NA;M;34,5;S;NA;R;2;11;5;NA;NA;JW;2;52;JW;NA;;2020;-0,707685242
33;35;2320;debowa;27.sie.20;2020;AM;G3;G3-debowa;APF;NA;M;35;NS;NA;R;3;0;8;NA;NA;MZ;3;57;MZ;NA;;2020;-0,707685242
34;35;2500;debowa;29.sie.20;2020;AM;H2;H2-debowa;APF;NA;M;30;S;NA;R;4;0;2;NA;NA;JW;4;55;JW;NA;;2020;-0,707685242
35;45;1;debowa;15.cze.20;2020;AM;C1;C1-debowa;APF;9,68E+14;F;37,5;L;NO;NEW;1;0;21;NA;NA;RZ;1;33;PC;NA;;2020;0,119630703
36;46;2;debowa;15.cze.20;2020;AM;B1;B1-debowa;APF;9,68E+14;M;32;NS;NA;NEW;1;25;6;NA;NA;RZ;1;43;PC;NA;;2020;-0,283795791
37;47;22;debowa;15.cze.20;2020;AM;J2;J2-debowa;APF;9,68E+14;M;18,5;NS;NA;NEW;1;23;10;NA;NA;RZ;1;0;PC;NA;;2020;-0,102973001
38;48;13;debowa;15.cze.20;2020;AM;J1;J1-debowa;APF;9,68E+14;M;26;NS;NA;NEW;1;0;21;NA;NA;RZ;1;56;PC;NA;;2020;0,159115359
39;49;149;debowa;18.cze.20;2020;AM;E1;E1-debowa;APF;NA;F;46;P;NA;R;2;0;0;NA;NA;JW;2;0;JW;NA;;2020;-0,003721157
40;51;50;wally;16.cze.20;2020;AM;F7;F7-wally;APF;9,68E+14;M;17,5;NS;NA;NEW;1;0;10;NA;NA;RZ;1;33;JW;NA;;2020;-0,066568244
41;51;544;wally;05.lip.20;2020;AM;F4;F4-wally;APF;NA;M;26;S;NA;R;2;0;16;NA;NA;JW;2;45;JW;NA;;2020;-0,066568244
42;51;571;wally;06.lip.20;2020;AM;F4;F4-wally;APF;NA;M;25;NS;NA;R;3;0;6;NA;NA;JW;3;40;JW;NA;;2020;-0,066568244
43;51;1171;wally;24.lip.20;2020;AM;F7;F7-wally;APF;NA;M;29;NS;NA;R;4;7;19;NA;NA;MZ;4;52;MZ;NA;;2020;-0,066568244
44;51;1771;wally;11.sie.20;2020;AM;F6;F6-wally;APF;NA;M;34;NS;NA;R;5;0;12;NA;NA;JW;5;39;JW;NA;;2020;-0,066568244
45;52;49;wally;16.cze.20;2020;AM;H4;H4-wally;APF;9,68E+14;F;23;NP;NO;NEW;1;90;9;NA;NA;RZ;1;49;JW;NA;;2020;0,141453035
46;52;566;wally;06.lip.20;2020;AM;H4;H4-wally;APF;NA;F;22;NP;NO;R;2;0;24;NA;NA;JW;2;53;JW;NA;;2020;0,141453035
47;52;1534;wally;08.sie.20;2020;AM;H4;H4-wally;APF;NA;F;26;NP;NA;R;3;0;13;NA;NA;JW;3;24;JW;NA;;2020;0,141453035
48;52;2232;wally;26.sie.20;2020;AM;G2;G2-wally;APF;NA;F;27;NP;NA;R;4;0;18;NA;NA;AW;4;42;AW;NA;;2020;0,141453035
49;52;2394;wally;28.sie.20;2020;AM;H3;H3-wally;APF;NA;F;24;NP;NA;R;5;0;20;NA;NA;JW;5;56;JW;NA;;2020;0,141453035
50;53;28;wally;16.cze.20;2020;AM;B6;B6-wally;APF;9,68E+14;M;16,5;NS;NA;NEW;1;9;7;NA;NA;RZ;1;29;JW;NA;;2020;-0,1984638
51;56;1133;debowa;23.lip.20;2020;AM;G8;G8-debowa;APF;NA;F;37,5;NP;NA;R;1;14;22;NA;NA;JW;1;58;JW;NA;;2020;0,141672096
52;57;106;wally;17.cze.20;2020;AM;I5;I5-wally;APF;9,68E+14;M;40;NS;NA;NEW;1;0;24;NA;NA;JW;1;27;JW;NA;;2020;0,442681929
53;57;590;wally;06.lip.20;2020;AM;E4;E4-wally;APF;NA;M;44;S;NA;R;2;2;40;NA;NA;AW;2;51;AW;NA;;2020;0,442681929
54;58;107;wally;17.cze.20;2020;AM;J4;J4-wally;APF;9,68E+14;F;29;L;NO;NEW;1;92;0;NA;NA;JW;1;0;JW;NA;;2020;-0,006623414
55;59;105;wally;17.cze.20;2020;AM;G4;G4-wally;APF;9,68E+14;M;21;NS;NA;NEW;1;0;22;NA;NA;JW;1;56;JW;NA;;2020;0,195882851
56;60;109;wally;17.cze.20;2020;AM;F3;F3-wally;APF;9,68E+14;M;16;NS;NA;NEW;1;96;6;NA;NA;JW;1;17;JW;NA;;2020;-0,235334391
57;63;130;wally;18.cze.20;2020;AM;E5;E5-wally;APF;9,68E+14;F;22;NP;NO;NEW;1;0;25;NA;NA;JW;1;5;JW;NA;;2020;0,252686398
58;73;587;wally;06.lip.20;2020;AM;D9;D9-wally;APF;NA;F;29;L;NO;R;1;17;15;NA;NA;AW;1;39;AW;NA;;2020;0,002539081
59;75;2211;wally;26.sie.20;2020;AM;E1;E1-wally;APF;NA;M;37;S;NA;R;1;0;36;NA;NA;MZ;1;60;MZ;NA;;2020;0,421815667
60;76;80;debowa;17.cze.20;2020;AM;E8;E8-debowa;APF;9,68E+14;M;23,5;NS;NA;NEW;1;0;16;NA;NA;AW;1;56;JW;NA;;2020;0,048674228
61;77;95;debowa;17.cze.20;2020;AM;I5;I5-debowa;APF;9,68E+14;M;29;S;NA;NEW;1;0;18;NA;NA;JW;1;48;JW;NA;;2020;0,081087809
62;78;79;debowa;17.cze.20;2020;AM;E7;E7-debowa;APF;9,68E+14;F;21;NP;NO;NEW;1;0;14;NA;NA;JW;1;47;JW;NA;;2020;0,095239617
63;78;129;wally;18.cze.20;2020;AM;B3;B3-wally;APF;9,68E+14;F;30;L;NO;NEW;2;0;20;NA;NA;JW;2;58;JW;NA;;2020;0,095239617
64;79;93;debowa;17.cze.20;2020;AM;J6;J6-debowa;APF;9,68E+14;F;17,5;NP;NO;NEW;1;28;5;NA;NA;JW;1;0;JW;NA;;2020;-0,246278482
65;79;554;debowa;05.lip.20;2020;AM;I5;I5-debowa;APF;NA;F;22;NP;NO;R;2;4;16;NA;NA;JW;2;11;JW;NA;;2020;-0,246278482
66;79;1074;debowa;22.lip.20;2020;AM;H5;H5-debowa;APF;NA;F;25;NP;NA;R;3;19;14;NA;NA;MZ;3;7;MZ;NA;;2020;-0,246278482
67;79;1764;debowa;11.sie.20;2020;AM;I3;I3-debowa;APF;NA;F;27;NP;NA;R;4;14;7;NA;NA;JW;5;7;JW;NA;;2020;-0,246278482
68;79;2501;debowa;29.sie.20;2020;AM;H6;H6-debowa;APF;NA;F;27;NP;NA;R;5;28;6;NA;NA;JW;6;22;JW;NA;;2020;-0,246278482
69;81;76;debowa;17.cze.20;2020;AM;C2;C2-debowa;APF;9,68E+14;M;26;NS;NA;NEW;1;0;0;NA;NA;JW;1;17;JW;NA;;2020;-0,008187631
70;91;116;wally;18.cze.20;2020;AM;G8;G8-wally;APF;9,68E+14;F;17;NP;NO;NEW;1;0;11;NA;NA;JW;1;38;JW;NA;;2020;0,099050971
71;91;520;wally;05.lip.20;2020;AM;E6;E6-wally;APF;9,68E+14;F;21;NP;NO;R;2;0;23;NA;NA;AW;2;47;AW;NA;;2020;0,099050971
72;94;2504;debowa;29.sie.20;2020;AM;G9;G9-debowa;APF;NA;F;22;NP;NA;R;1;0;27;NA;NA;JW;1;48;JW;NA;;2020;0,293498202
73;96;469;debowa;03.lip.20;2020;AM;I3;I3-debowa;APF;NA;M;29,5;NS;NA;R;1;20;32;NA;NA;JW;1;49;JW;NA;;2020;0,459553036
74;96;1076;debowa;22.lip.20;2020;AM;H6;H6-debowa;APF;NA;M;29;NS;NA;R;2;0;27;NA;NA;MZ;2;35;MZ;NA;;2020;0,459553036
75;97;2328;debowa;27.sie.20;2020;AM;H7;H7-debowa;APF;NA;F;33;NP;NA;R;1;0;26;NA;NA;MZ;1;60;MZ;NA;;2020;0,239974956
76;98;1066;wally;22.lip.20;2020;AM;E6;E6-wally;APF;NA;F;21,5;NP;NA;R;1;0;24;NA;NA;MZ;1;52;MZ;NA;;2020;0,286221781
77;98;1536;wally;08.sie.20;2020;AM;F5;F5-wally;APF;NA;F;25;NP;NA;R;2;0;21;NA;NA;JW;2;33;JW;NA;;2020;0,286221781
78;99;68;debowa;16.cze.20;2020;AM;I2;I2-debowa;APF;9,68E+14;F;19;NP;NO;NEW;1;0;2;NA;NA;RZ;1;5;JW;NA;;2020;-0,278825721
79;99;333;bagno;24.cze.20;2020;AM;G3;G3-bagno;APF;9,68E+14;F;22;NP;NO;NEW;2;25;18;NA;NA;JW;2;32;JW;NA;;2020;-0,278825721
80;1000;1533;wally;08.sie.20;2020;AM;F10;F10-wally;APF;6,16E+14;M;25,5;NS;NA;NEW;1;0;12;NA;NA;JW;1;54;JW;NA;;2020;0,041645488
81;1000;1665;wally;10.sie.20;2020;AM;D7;D7-wally;APF;NA;M;25,5;NS;NA;R;2;0;19;NA;NA;MZ;2;57;MZ;NA;;2020;0,041645488
82;101;128;wally;18.cze.20;2020;AM;C1;C1-wally;APF;9,68E+14;M;26,5;NS;NA;NEW;1;0;16;NA;NA;JW;1;33;JW;NA;;2020;0,039747487
83;102;1289;karpaty;26.lip.20;2020;AM;F1;F1-karpaty;APF;NA;F;23;NP;NA;R;1;0;17;NA;NA;JW;1;58;JW;NA;;2020;0,231122374
84;102;1372;karpaty;28.lip.20;2020;AM;G1;G1-karpaty;APF;NA;F;23;NP;NA;R;2;0;25;NA;NA;MZ;2;59;MZ;NA;;2020;0,231122374
85;103;216;karpaty;20.cze.20;2020;AM;C8;C8-karpaty;APF;9,68E+14;M;21,5;S;NA;NEW;1;0;23;NA;NA;RZ;1;24;JW;NA;;2020;0,347216866
86;103;270;karpaty;21.cze.20;2020;AM;E8;E8-karpaty;APF;NA;M;20;S;NA;R;2;0;25;NA;NA;JW;2;43;JW;NA;;2020;0,347216866
87;105;213;karpaty;20.cze.20;2020;AM;D3;D3-karpaty;APF;9,68E+14;M;11,5;JUV;NA;NEW;1;29;9;NA;NA;RZ;1;0;JW;NA;;2020;-0,281464399
88;105;662;karpaty;09.lip.20;2020;AM;C1;C1-karpaty;APF;NA;M;20;NS;NA;R;2;3;5;NA;NA;JW;2;0;JW;NA;;2020;-0,281464399
89;108;201;karpaty;20.cze.20;2020;AM;I9;I9-karpaty;APF;9,68E+14;F;17;NP;YES;NEW;1;0;31;NA;NA;RZ;1;52;JW;NA;;2020;0,408892306
90;108;677;karpaty;09.lip.20;2020;AM;I10;I10-karpaty;APF;NA;F;20;NP;NA;R;2;0;28;NA;NA;JW;2;51;JW;NA;;2020;0,408892306
91;108;1239;karpaty;25.lip.20;2020;AM;C5;C5-karpaty;APF;NA;F;23;NP;NA;R;3;0;10;;NA;JW;3;57;JW;NA;;2020;0,408892306
92;108;1865;karpaty;13.sie.20;2020;AM;E6;E6-karpaty;APF;NA;F;27;NP;NA;R;4;0;17;NA;NA;JW;4;0;JW;NA;;2020;0,408892306
93;108;2521;karpaty;30.sie.20;2020;AM;G9;G9-karpaty;APF;NA;F;24;L;NA;R;5;0;25;NA;NA;MZ;5;52;MZ;NA;;2020;0,408892306
94;108;2682;karpaty;01.wrz.20;2020;AM;H6;H6-karpaty;APF;NA;F;23,5;NP;NA;R;6;0;23;NA;NA;JW;6;52;JW;NA;;2020;0,408892306
95;109;203;karpaty;20.cze.20;2020;AM;H8;H8-karpaty;APF;9,68E+14;M;21,5;S;NA;NEW;1;14;17;NA;NA;RZ;1;52;JW;NA;;2020;0,079286405
96;110;179;natura;19.cze.20;2020;AM;D5;D5-natura;APF;9,68E+14;M;23;NS;NA;NEW;1;0;12;NA;NA;RZ;1;4;JW;NA;;2020;-0,056650955
97;111;177;natura;19.cze.20;2020;AM;B4;B4-natura;APF;9,68E+14;F;16,5;NP;NO;NEW;1;0;13;NA;NA;RZ;1;10;JW;NA;;2020;-0,013574411
98;112;180;natura;19.cze.20;2020;AM;C8;C8-natura;APF;9,68E+14;F;20,5;NP;NO;NEW;1;29;3;NA;NA;RZ;1;29;JW;NA;;2020;-0,391714049
99;113;202;karpaty;20.cze.20;2020;AM;F7;F7-karpaty;APF;NA;M;22,5;NS;NA;R;1;0;31;NA;NA;RZ;1;53;JW;NA;;2020;0,544026698
100;113;297;karpaty;22.cze.20;2020;AM;D7;D7-karpaty;APF;NA;M;22;NS;NA;R;2;0;32;NA;NA;JW;2;57;JW;NA;;2020;0,544026698
101;114;268;karpaty;21.cze.20;2020;AM;D5;D5-karpaty;APF;NA;F;19;NP;NO;R;1;0;32;NA;NA;JW;1;51;JW;NA;;2020;0,240600859
102;114;298;karpaty;22.cze.20;2020;AM;E4;E4-karpaty;APF;NA;F;18;NP;NA;R;2;0;12;NA;NA;JW;2;46;JW;NA;;2020;0,240600859
103;116;250;karpaty;21.cze.20;2020;AM;H10;H10-karpaty;APF;9,68E+14;M;22;NS;NA;R;1;0;23;NA;NA;JW;1;39;JW;NA;;2020;0,507607588
104;116;734;karpaty;10.lip.20;2020;AM;J6;J6-karpaty;APF;NA;M;23;S;NA;NEW;2;0;30;NA;NA;JW;2;57;JW;NA;;2020;0,507607588
105;116;1301;karpaty;26.lip.20;2020;AM;G10;G10-karpaty;APF;NA;M;27;S;NA;R;3;0;24;NA;NA;mz;3;22;MZ;NA;;2020;0,507607588
106;116;1378;karpaty;28.lip.20;2020;AM;D8;D8-karpaty;APF;NA;M;27;NA;NA;R;4;0;34;NA;NA;MZ;4;40;MZ;NA;;2020;0,507607588
107;116;1832;karpaty;12.sie.20;2020;AM;D8;D8-karpaty;APF;NA;M;27,5;S;NA;R;5;7;17;NA;NA;MZ;5;42;MZ;NA;;2020;0,507607588
108;117;608;karpaty;07.lip.20;2020;AM;D7;D7-karpaty;APF;NA;F;24;NP;NO;R;1;35;1;NA;NA;JW;1;0;JW;NA;;2020;-0,461309256
109;117;661;karpaty;09.lip.20;2020;AM;C9;C9-karpaty;APF;NA;F;23;NP;NA;R;2;0;11;NA;NA;JW;2;8;JW;NA;;2020;-0,461309256
110;119;199;natura;19.cze.20;2020;AM;J5;J5-natura;APF;9,00E+14;M;14;NS;NA;NEW;1;0;4;NA;NA;RZ;1;39;JW;NA;;2020;-0,424697847
111;119;648;natura;08.lip.20;2020;AM;H6;H6-natura;APF;NA;M;24;NS;NO;NEW;2;0;4;NA;NA;JW;2;49;JW;NA;;2020;-0,424697847
112;119;681;natura;09.lip.20;2020;AM;H6;H6-natura;APF;NA;M;24,5;NS;NA;R;3;0;10;NA;NA;JW;3;52;JW;NA;;2020;-0,424697847
113;121;195;natura;19.cze.20;2020;AM;F3;F3-natura;APF;9,00E+14;F;17,5;NP;NO;NEW;1;0;6;NA;NA;RZ;1;13;JW;NA;;2020;-0,243912951
114;122;1315;karpaty;27.lip.20;2020;AM;F1;F1-karpaty;APF;NA;F;32,5;L;NA;R;1;5;21;NA;NA;AW;1;34;AW;NA;;2020;-0,267312801
115;122;1948;karpaty;15.sie.20;2020;AM;G1;G1-karpaty;APF;NA;F;34,5;L;NA;R;2;0;11;NA;NA;MZ;2;48;MZ;NA;;2020;-0,267312801
116;122;2524;karpaty;30.sie.20;2020;AM;H2;H2-karpaty;APF;NA;F;34;NP;NA;R;3;0;2;NA;NA;MZ;3;27;MZ;NA;;2020;-0,267312801
117;123;198;natura;19.cze.20;2020;AM;F6;F6-natura;APF;9,00E+14;M;25;NS;NA;NEW;1;0;6;NA;NA;RZ;1;0;JW;NA;;2020;-0,262296313
118;125;200;natura;19.cze.20;2020;AM;J2;J2-natura;APF;9,00E+14;F;15,5;NP;NO;NEW;1;92;1;NA;NA;RZ;1;0;JW;NA;;2020;-0,641541642
119;125;1306;natura;26.lip.20;2020;AM;I4;I4-natura;APF;NA;F;26;NP;NA;R;2;8;3;NA;NA;MZ;2;20;MZ;NA;;2020;-0,641541642
120;125;1361;natura;28.lip.20;2020;AM;I4;I4-natura;APF;NA;F;25;NP;YES;R;3;0;21;NA;NA;AW;4;13;AW;NA;;2020;-0,641541642
121;125;1834;natura;13.sie.20;2020;AM;J2;J2-natura;APF;NA;F;28;NP;NA;R;4;14;1;NA;NA;AW;5;0;AW;NA;;2020;-0,641541642
122;135;165;karpaty;19.cze.20;2020;AM;B8;B8-karpaty;APF;9,68E+14;M;25;NS;NA;NEW;1;0;25;NA;NA;RZ;1;54;JW;NA;;2020;0,247934544
123;136;186;karpaty;19.cze.20;2020;AM;I7;I7-karpaty;APF;9,68E+14;M;25,5;S;NA;NEW;1;52;0;NA;NA;RZ;1;4;JW;NA;;2020;0,612246886
124;136;611;karpaty;07.lip.20;2020;AM;D8;D8-karpaty;APF;NA;M;27;S;NA;R;2;0;23;NA;NA;JW;2;45;JW;NA;;2020;0,612246886
125;136;657;karpaty;08.lip.20;2020;AM;G6;G6-karpaty;APF;NA;M;28;S;NA;R;3;3;17;NA;NA;JW;3;40;JW;NA;;2020;0,612246886
126;136;676;karpaty;09.lip.20;2020;AM;F8;F8-karpaty;APF;NA;M;26,5;S;NA;R;4;0;25;NA;NA;JW;4;33;JW;NA;;2020;0,612246886
127;136;1237;karpaty;25.lip.20;2020;AM;B3;B3-karpaty;APF;NA;M;29,5;S;NA;R;5;0;31;NA;NA;MZ;5;52;MZ;NA;;2020;0,612246886
128;136;1318;karpaty;27.lip.20;2020;AM;F8;F8-karpaty;APF;NA;M;28;S;NA;R;6;0;38;NA;NA;AW;6;53;AW;NA;;2020;0,612246886
129;136;1858;karpaty;13.sie.20;2020;AM;C2;C2-karpaty;APF;NA;M;31,5;S;NA;R;7;0;28;NA;NA;JW;7;40;JW;NA;;2020;0,612246886
130;136;2525;karpaty;30.sie.20;2020;AM;I6;I6-karpaty;APF;NA;M;30,5;S;NA;R;8;2;25;NA;NA;MZ;8;54;MZ;NA;;2020;0,612246886
131;137;166;karpaty;19.cze.20;2020;AM;E8;E8-karpaty;APF;9,68E+14;F;26,5;NP;NO;NEW;1;0;19;NA;NA;RZ;1;40;JW;NA;;2020;0,107955348
132;138;162;karpaty;19.cze.20;2020;AM;D7;D7-karpaty;APF;9,68E+14;M;29,5;S;NA;NEW;1;0;29;NA;NA;RZ;1;54;JW;NA;;2020;0,31478815
133;139;192;karpaty;19.cze.20;2020;AM;I3;I3-karpaty;APF;9,68E+14;M;22,5;S;NA;NEW;1;0;20;NA;NA;RZ;1;50;JW;NA;;2020;0,143820596
134;139;281;karpaty;22.cze.20;2020;AM;H2;H2-karpaty;APF;NA;M;20;S;NA;R;2;23;0;NA;NA;JW;2;42;JW;NA;;2020;0,143820596
135;140;191;karpaty;19.cze.20;2020;AM;F4;F4-karpaty;APF;9,68E+14;M;21;NS;NA;NEW;1;5;23;NA;NA;RZ;1;60;JW;NA;;2020;0,413500167
136;140;295;karpaty;22.cze.20;2020;AM;B8;B8-karpaty;APF;NA;M;20;NS;NA;R;2;0;30;NA;NA;JW;2;52;JW;NA;;2020;0,413500167
137;150;153;debowa;18.cze.20;2020;AM;D9;D9-debowa;APF;NA;F;34;NA;NA;R;1;0;12;NA;NA;JW;1;3;JW;NA;;2020;0,365956386
138;150;597;debowa;06.lip.20;2020;AM;D9;D9-debowa;APF;NA;F;34;L;NO;R;2;0;36;NA;NA;AW;2;46;AW;NA;;2020;0,365956386
139;150;1726;debowa;11.sie.20;2020;AM;B9;B9-debowa;APF;NA;F;36;NP;YES;R;3;0;34;NA;NA;AW;3;45;AW;NA;;2020;0,365956386
140;155;224;natura;20.cze.20;2020;AM;A4;A4-natura;APF;NA;F;23,5;NA;NA;R;1;0;15;NA;NA;JW;1;47;JW;NA;;2020;-0,062456024
141;155;254;natura;21.cze.20;2020;AM;C4;C4-natura;APF;NA;F;23,5;NP;NO;R;2;14;10;NA;NA;RZ;2;35;JW;NA;;2020;-0,062456024
142;156;227;natura;20.cze.20;2020;AM;A8;A8-natura;APF;NA;F;24;NA;NO;R;1;93;5;NA;NA;JW;1;0;JW;NA;;2020;-0,305112192
143;158;748;natura;10.lip.20;2020;AM;D7;D7-natura;APF;NA;F;18;NP;NA;R;1;0;25;NA;NA;JW;1;47;JW;NA;;2020;0,264340559
144;161;466;debowa;03.lip.20;2020;AM;I6;I6-debowa;APF;NA;F;39,5;P;NO;R;1;0;21;NA;NA;JW;1;58;JW;NA;;2020;-0,194716537
145;161;514;debowa;04.lip.20;2020;AM;I6;I6-debowa;APF;NA;F;37,5;NP;NO;R;2;0;15;NA;NA;JW;2;58;JW;NA;;2020;-0,194716537
146;161;579;debowa;06.lip.20;2020;AM;J6;J6-debowa;APF;NA;F;36;NP;NO;R;3;0;11;NA;NA;JW;3;29;JW;NA;;2020;-0,194716537
147;161;1611;debowa;09.sie.20;2020;AM;I6;I6-debowa;APF;NA;F;38;NP;NA;R;4;0;3;NA;NA;JW;4;11;JW;NA;;2020;-0,194716537
148;161;2380;debowa;28.sie.20;2020;AM;I7;I7-debowa;APF;NA;F;36;L;NA;R;5;0;10;NA;NA;AW;6;53;AW;NA;;2020;-0,194716537
149;163;305;bagno;23.cze.20;2020;AM;C1;C1-bagno;APF;9,68E+14;F;35;L;YES;NEW;1;0;18;NA;NA;AW;1;54;AW;NA;;2020;0,058421098
150;166;606;natura;07.lip.20;2020;AM;F6;F6-natura;APF;NA;F;41,5;L;NO;R;1;0;32;NA;NA;JW;1;55;JW;NA;;2020;0,329752102
151;169;1202;debowa;24.lip.20;2020;AM;F5;F5-debowa;APF;NA;F;17,5;NP;NA;R;1;0;17;NA;NA;JW;1;57;JW;NA;;2020;0,372227358
152;169;1605;debowa;09.sie.20;2020;AM;F6;F6-debowa;APF;NA;F;22;NP;NA;R;2;0;21;NA;NA;JW;2;60;JW;NA;;2020;0,372227358
153;169;1756;debowa;11.sie.20;2020;AM;F5;F5-debowa;APF;NA;F;22;NP;NA;R;3;0;15;NA;NA;JW;3;50;JW;NA;;2020;0,372227358
154;169;2228;debowa;26.sie.20;2020;AM;G6;G6-debowa;APF;NA;F;23,5;NP;NA;R;4;0;41;NA;NA;AW;4;54;AW;NA;;2020;0,372227358
