;eartag;lp;plot;date;year_time;time;trap;station;species;PIT_tag;Sex;Body_mass;reproductive_state;open;recapture;Openfield_number;latency;Cross;zones.old;zones.new;manipulator;struggle_no;bag_struggle;watched;Struggle2..1.5.;X;yearText;BLUP_B
1132;338;465;debowa;03.lip.20;2020;AM;J8;J8-debowa;APF;9,68E+14;F;11;JUV;NO;NEW;1;10;11;NA;NA;JW;1;31;JW;NA;;2020;-0,054841589
1133;339;467;debowa;03.lip.20;2020;AM;I10;I10-debowa;APF;9,68E+14;M;35;NS;NA;NEW;1;0;10;NA;NA;JW;1;5;JW;NA;;2020;-0,15296307
1134;340;451;wally;03.lip.20;2020;AM;D6;D6-wally;APF;9,68E+14;M;22;NS;NA;NEW;1;0;13;NA;NA;JW;1;14;JW;NA;;2020;0,095279003
1135;340;1744;wally;11.sie.20;2020;AM;B9;B9-wally;APF;NA;M;29;S;NA;R;2;0;21;NA;NA;MZ;2;57;MZ;NA;;2020;0,095279003
1136;342;455;wally;03.lip.20;2020;AM;D2;D2-wally;APF;9,68E+14;F;21;NP;NO;NEW;1;0;22;NA;NA;JW;1;55;JW;NA;;2020;0,191823392
1137;348;463;debowa;03.lip.20;2020;AM;D6;D6-debowa;APF;9,68E+14;F;12;JUV;NO;NEW;1;0;21;NA;NA;JW;1;51;JW;NA;;2020;0,288852449
1138;348;530;debowa;05.lip.20;2020;AM;C5;C5-debowa;APF;NA;F;12,5;JUV;NO;R;2;6;21;NA;NA;AW;2;57;AW;NA;;2020;0,288852449
1139;349;464;debowa;03.lip.20;2020;AM;D4;D4-debowa;APF;9,68E+14;M;20;NS;NA;NEW;1;0;12;NA;NA;JW;1;58;JW;NA;;2020;-0,047778929
1140;350;456;debowa;03.lip.20;2020;AM;A2;A2-debowa;APF;9,68E+14;M;29;NS;NA;NEW;1;0;30;NA;NA;JW;1;56;JW;NA;;2020;0,335691808
1141;351;387;trojkat;26.cze.20;2020;AM;J7;J7-trojkat;APF;9,68E+14;M;16;NP;NA;NEW;1;5;7;NA;NA;JW;1;8;JW;NA;;2020;-0,196990745
1142;354;572;debowa;06.lip.20;2020;AM;G2;G2-debowa;APF;NA;M;26,5;S;NA;R;1;11;13;NA;NA;JW;1;2;JW;NA;;2020;-0,039038655
1143;356;484;debowa;04.lip.20;2020;AM;F1;F1-debowa;APF;9,68E+14;M;19;NS;NA;NEW;1;10;10;NA;NA;JW;1;0;JW;NA;;2020;0,036107257
1144;356;560;debowa;05.lip.20;2020;AM;F2;F2-debowa;APF;NA;M;19,5;NS;NA;R;2;11;20;NA;NA;JW;2;50;JW;NA;;2020;0,036107257
1145;358;516;debowa;04.lip.20;2020;AM;H9;H9-debowa;APF;9,68E+14;F;19,5;NP;NO;NEW;1;0;10;NA;NA;JW;1;40;JW;NA;;2020;0,136033972
1146;358;551;debowa;05.lip.20;2020;AM;H8;H8-debowa;APF;NA;F;19;NP;NO;R;2;0;24;NA;NA;JW;2;49;JW;NA;;2020;0,136033972
1147;358;1610;debowa;09.sie.20;2020;AM;I10;I10-debowa;APF;NA;F;22;NP;NA;R;3;0;18;NA;NA;JW;3;54;JW;NA;;2020;0,136033972
1148;359;515;debowa;04.lip.20;2020;AM;I7;I7-debowa;APF;9,68E+14;F;22;NP;NO;NEW;1;0;13;NA;NA;JW;1;47;JW;NA;;2020;0,111157024
1149;359;550;debowa;05.lip.20;2020;AM;H9;H9-debowa;APF;NA;F;21;NP;NO;R;2;0;20;NA;NA;JW;2;36;JW;NA;;2020;0,111157024
1150;359;577;debowa;06.lip.20;2020;AM;I7;I7-debowa;APF;NA;F;21;NP;NO;R;3;0;19;NA;NA;JW;3;51;JW;NA;;2020;0,111157024
1151;359;1129;debowa;23.lip.20;2020;AM;F8;F8-debowa;APF;NA;F;21;NP;NA;R;4;0;16;NA;NA;JW;4;60;JW;NA;;2020;0,111157024
1152;359;1506;debowa;08.sie.20;2020;AM;G7;G7-debowa;APF;NA;F;24;NP;NA;R;5;0;10;NA;NA;JW;5;0;JW;NA;;2020;0,111157024
1153;359;1693;debowa;10.sie.20;2020;AM;F8;F8-debowa;APF;NA;F;25;NP;NA;R;6;0;12;NA;NA;JW;6;30;JW;NA;;2020;0,111157024
1154;360;511;debowa;04.lip.20;2020;AM;I1;I1-debowa;APF;9,68E+14;M;44;S;NA;NEW;1;0;33;NA;NA;JW;1;31;JW;NA;;2020;0,344652458
1155;364;548;debowa;05.lip.20;2020;AM;G3;G3-debowa;APF;NA;M;6,5;JUV;NA;R;1;80;0;NA;NA;JW;1;0;JW;NA;;2020;-0,019442626
1156;366;555;debowa;05.lip.20;2020;AM;I6;I6-debowa;APF;9,68E+14;M;23;NS;NA;NEW;1;0;29;NA;NA;JW;1;34;JW;NA;;2020;0,229883829
1157;366;1136;debowa;23.lip.20;2020;AM;J3;J3-debowa;APF;NA;M;25;S;NA;R;2;0;25;NA;NA;JW;2;13;JW;NA;;2020;0,229883829
1158;366;1613;debowa;09.sie.20;2020;AM;I3;I3-debowa;APF;NA;M;29;S;NA;R;3;0;9;NA;NA;JW;3;0;JW;NA;;2020;0,229883829
1159;367;549;debowa;05.lip.20;2020;AM;G10;G10-debowa;APF;9,68E+14;M;25;NS;NA;NEW;1;0;30;NA;NA;JW;1;54;JW;NA;;2020;0,347756878
1160;370;540;wally;05.lip.20;2020;AM;I7;I7-wally;APF;9,68E+14;F;20;NP;NO;NEW;1;16;11;NA;NA;JW;1;48;JW;NA;;2020;-0,081059634
1161;376;767;trojkat;11.lip.20;2020;AM;C1;C1-trojkat;APF;NA;M;16;NS;NA;R;1;6;6;NA;NA;AW;1;47;AW;NA;;2020;-0,171739036
1162;376;845;trojkat;13.lip.20;2020;AM;B4;B4-trojkat;APF;NA;M;15,5;NS;NA;R;2;0;13;NA;NA;JW;2;40;JW;NA;;2020;-0,171739036
1163;378;344;bagno;24.cze.20;2020;AM;E5;E5-bagno;APF;9,68E+14;M;21;NS;NA;NEW;1;0;5;NA;NA;JW;1;0;JW;NA;;2020;-0,291823668
1164;379;366;bagno;25.cze.20;2020;AM;C9;C9-bagno;APF;9,68E+14;F;10;JUV;NA;NEW;1;0;0;NA;NA;JW;1;39;JW;NA;;2020;-0,117964366
1165;379;781;bagno;11.lip.20;2020;AM;E5;E5-bagno;APF;NA;F;12,5;JUV;NA;R;2;0;13;NA;NA;JW;2;45;JW;NA;;2020;-0,117964366
1166;379;1418;bagno;29.lip.20;2020;AM;E10;E10-bagno;APF;NA;F;19;NP;NA;R;3;0;8;NA;NA;JW;3;47;JW;NA;;2020;-0,117964366
1167;379;1459;bagno;01.sie.20;2020;AM;H9;H9-bagno;APF;9,68E+14;F;19;NP;NA;R;4;0;10;NA;NA;JW;4;11;JW;NA;;2020;-0,117964366
1168;384;559;debowa;05.lip.20;2020;AM;F1;F1-debowa;APF;NA;M;19;NS;NA;R;1;3;23;NA;NA;JW;1;4;JW;NA;;2020;0,272719255
1169;384;2499;debowa;29.sie.20;2020;AM;E2;E2-debowa;APF;NA;M;29,5;S;NA;R;2;0;21;NA;NA;JW;2;52;JW;NA;;2020;0,272719255
1170;389;508;debowa;04.lip.20;2020;AM;A8;A8-debowa;APF;9,68E+14;M;25;NS;NA;NEW;1;0;17;NA;NA;JW;1;52;JW;NA;;2020;0,068963364
1171;390;504;debowa;04.lip.20;2020;AM;C4;C4-debowa;APF;9,68E+14;M;20;NS;NA;NEW;1;0;6;NA;NA;JW;1;52;JW;NA;;2020;-0,0535078
1172;390;529;debowa;05.lip.20;2020;AM;C4;C4-debowa;APF;NA;M;19;NS;NA;R;2;6;22;NA;NA;AW;2;54;AW;NA;;2020;-0,0535078
1173;391;506;debowa;04.lip.20;2020;AM;A10;A10-debowa;APF;9,68E+14;M;51;S;NA;NEW;1;0;16;NA;NA;JW;1;40;JW;NA;;2020;-0,037208825
1174;393;588;wally;06.lip.20;2020;AM;E6;E6-wally;APF;9,68E+14;M;23,5;NS;NA;R;1;0;21;NA;NA;AW;1;60;AW;NA;;2020;0,166515124
1175;395;1595;wally;09.sie.20;2020;AM;I10;I10-wally;APF;NA;M;29;NS;NA;R;1;0;26;NA;NA;JW;1;15;JW;NA;;2020;0,228291782
1176;395;1770;wally;11.sie.20;2020;AM;H5;H5-wally;APF;NA;M;29;NS;NA;R;2;0;17;NA;NA;JW;3;19;JW;NA;;2020;0,228291782
1177;401;534;debowa;05.lip.20;2020;AM;D6;D6-debowa;APF;9,68E+14;M;14;JUV;NA;NEW;1;0;7;NA;NA;AW;1;15;AW;NA;;2020;-0,191123605
1178;402;527;debowa;05.lip.20;2020;AM;B4;B4-debowa;APF;9,68E+14;F;19;NP;NO;NEW;1;0;14;NA;NA;AW;1;52;AW;NA;;2020;0,081009971
1179;402;598;debowa;06.lip.20;2020;AM;C4;C4-debowa;APF;NA;F;19;NP;NO;R;2;0;18;NA;NA;AW;2;4;AW;NA;;2020;0,081009971
1180;402;1674;debowa;10.sie.20;2020;AM;C4;C4-debowa;APF;NA;F;23,5;NP;NA;R;3;9;11;NA;NA;AW;3;20;AW;NA;;2020;0,081009971
1181;402;2202;debowa;26.sie.20;2020;AM;B4;B4-debowa;APF;NA;F;23,5;NP;NA;R;4;0;17;NA;NA;MZ;4;25;MZ;NA;;2020;0,081009971
1182;403;533;debowa;05.lip.20;2020;AM;E9;E9-debowa;APF;9,68E+14;M;27;NS;NA;NEW;1;0;7;NA;NA;AW;1;35;AW;NA;;2020;-0,229970942
1183;404;532;debowa;05.lip.20;2020;AM;E10;E10-debowa;APF;9,68E+14;M;29,5;NS;NA;NEW;1;0;10;NA;NA;AW;1;52;AW;NA;;2020;0,115087875
1184;404;1682;debowa;10.sie.20;2020;AM;D9;D9-debowa;APF;NA;M;38;S;NA;R;2;6;26;NA;NA;AW;2;48;AW;NA;;2020;0,115087875
1185;404;2267;debowa;27.sie.20;2020;AM;C9;C9-debowa;APF;NA;M;47;S;NA;R;3;10;21;NA;NA;MZ;3;58;MZ;NA;;2020;0,115087875
1186;405;531;debowa;05.lip.20;2020;AM;C10;C10-debowa;APF;9,68E+14;M;11;JUV;NA;NEW;1;0;22;NA;NA;AW;1;29;AW;NA;;2020;0,224238293
1187;412;593;debowa;06.lip.20;2020;AM;B1;B1-debowa;APF;9,68E+14;M;22;NS;NA;NEW;1;0;15;NA;NA;AW;1;44;AW;NA;;2020;0,027668209
