;eartag;X;date;day;year_time;time;plot;Abundance;trap;station;biomark;seed_number;seed_weight;PIT_tag;Sex;Sex2;Body_mass;reproductive_state;seed_status;intact;missing;partiallyeaten;eaten;cached;dispersal_distance;distance_cm;distance;perc_eaten;hidden;test;latency;cross;manipulator;bag_struggle;watched;dispersal_tree;distance_tree_cm;distance_tree;tree_diameter;tree_species;Notes;Exploration_rate
1231;991;3671;04.08.2020;48;2020;23:32:29;bagno;33;D2;D2-bagno;2;1;NA;9,68E+14;F;F;12;JUV;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;0;JW;39;JW;NA;NA;NA;NA;NA;;-0,291344691
1232;991;3673;04.08.2020;48;2020;23:33:29;bagno;33;D2;D2-bagno;2;3;NA;9,68E+14;F;F;12;JUV;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;0;JW;39;JW;NA;NA;NA;NA;NA;;-0,291344691
1233;991;3675;04.08.2020;48;2020;23:26:44;bagno;33;D2;D2-bagno;2;5;NA;9,68E+14;F;F;12;JUV;CAR;0;0;0;0;1;15,17;1517;15,17;0;leaves;YES;0;0;JW;39;JW;NA;NA;NA;NA;NA;;-0,291344691
1234;991;3234;18.07.2020;32;2020;23:09:38;bagno;49;D7;D7-bagno;2;4;NA;9,68E+14;F;F;12;JUV;EAR;0;0;0;1;0;NA;490;4,9;100;NA;YES;0;0;JW;39;JW;NA;NA;NA;NA;NA;;-0,291344691
1235;991;3232;18.07.2020;32;2020;22:32:12;bagno;49;D7;D7-bagno;2;2;NA;9,68E+14;F;F;12;JUV;EAR;0;0;0;1;0;NA;695;6,95;100;NA;YES;0;0;JW;39;JW;NA;NA;NA;NA;NA;;-0,291344691
1236;991;3231;18.07.2020;32;2020;22:38:11;bagno;49;D7;D7-bagno;2;1;NA;9,68E+14;F;F;12;JUV;EAR;0;0;0;1;0;NA;465;4,65;100;NA;YES;0;0;JW;39;JW;NA;NA;NA;NA;NA;;-0,291344691
1237;X0015;2767;30.06.2020;14;2020;00:58:48;trojkat;31;A6;A6-trojkat;5;2;NA;9,00E+14;M;MS;45;S;CAR;0;0;0;0;1;4,2;420;4,2;0;leaves;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1238;X0015;4128;21.08.2020;66;2020;01:23:17;trojkat;43;A8;A8-trojkat;5;3;4,663;9,00E+14;M;MS;41;S;CAR;0;0;0;0;1;5,77;577;5,77;0;leaves;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1239;X0015;4649;09.09.2020;85;2020;21:12:00;trojkat;19;B5;B5-trojkat;5;4;5,189;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1240;X0015;3209;17.07.2020;31;2020;00:49:14;trojkat;22;A6;A6-trojkat;5;4;NA;9,00E+14;M;MS;41;S;EAR;0;0;0;1;0;NA;1064;10,64;100;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1241;X0015;4650;09.09.2020;85;2020;20:49:51;trojkat;19;B5;B5-trojkat;5;5;5,913;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1242;X0015;3695;04.08.2020;48;2020;00:54:03;trojkat;19;E2;E2-trojkat;6;5;NA;9,00E+14;M;MS;42,5;S;EAR;0;0;0;1;0;NA;500;5;100;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1243;X0015;2766;30.06.2020;14;2020;00:55:41;trojkat;31;A6;A6-trojkat;5;1;NA;9,00E+14;M;MS;45;S;CAR;0;0;0;0;1;6,06;606;6,06;0;leaves;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1244;X0015;4129;21.08.2020;66;2020;01:23:17;trojkat;43;A8;A8-trojkat;5;4;4,817;9,00E+14;M;MS;41;S;EAR;0;0;0;1;0;NA;138;1,38;100;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1245;X0015;2769;30.06.2020;14;2020;01:07:46;trojkat;31;A6;A6-trojkat;5;4;NA;9,00E+14;M;MS;45;S;EAR;0;0;0;1;0;NA;336;3,36;100;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
